65
-0.764934	-16.074326
1.452795	-15.995675
2.754162	-15.854426
3.813750	-15.607851
5.467583	-15.111006
7.458091	-14.240901
8.893288	-13.355005
9.827128	-12.667148
10.707889	-11.915282
12.281832	-10.418045
12.960972	-9.436101
13.921481	-8.040403
15.091574	-5.486592
15.298360	-4.871057
15.407745	-4.480284
15.837422	-2.857435
16.024171	-0.489964
16.048661	1.157792
15.991930	1.704867
15.550374	3.884937
15.202840	5.051207
15.083587	5.435570
14.426562	7.100600
13.304815	8.905577
12.894069	9.475896
11.511840	11.217818
10.585501	12.031887
8.908041	13.410835
8.420929	13.706509
6.493031	14.707035
4.890486	15.255499
2.046271	15.900376
-0.156376	16.080352
-1.190998	16.003244
-2.407713	15.872983
-2.861184	15.819771
-3.498266	15.666007
-5.666037	15.011353
-8.256156	13.790406
-9.196748	13.131280
-10.388730	12.191752
-11.360082	11.371124
-12.003265	10.601380
-12.365605	10.167184
-13.465376	8.791248
-14.303374	7.322803
-15.003895	5.669596
-15.156230	5.272577
-15.782371	3.124284
-15.955193	2.057517
-16.056719	-0.749892
-15.748735	-3.008148
-15.339422	-4.632961
-14.508601	-6.891480
-14.029502	-7.736926
-13.173008	-9.132285
-12.826224	-9.631062
-11.345348	-11.418921
-10.000985	-12.499152
-8.689232	-13.542822
-8.223059	-13.837945
-7.239109	-14.357178
-5.676663	-15.055420
-4.633032	-15.430955
-2.892390	-15.803829
